town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Columbia Falls,475,43750,32896.0,54.1,219300,80.08130081300813,49.37027707808564,13.77551020408163,94.73684210526315,12.421052631578949,17.135549872122763,41.31736526946108,1
Cooper,157,48750,33954.0,46.5,212500,95.0,61.832061068702295,8.641975308641975,98.08917197452229,20.382165605095544,22.22222222222222,30.434782608695656,1
Corinna,2192,56547,28916.0,42.6,163200,86.59217877094973,53.867557039510295,6.095041322314049,96.8521897810219,17.746350364963504,15.389408099688474,45.544554455445535,1
Corinth,2990,64229,32345.0,42.7,135800,82.16350123864574,61.46983857264231,1.8659295093296473,93.31103678929766,11.437246963562753,20.157189089227927,52.60482846251588,1
Cornish,1803,69038,35649.0,39.0,274200,82.0754716981132,70.14725568942436,3.816793893129771,80.64337215751524,6.2673322240709926,20.964360587002094,8.385744234800832,1
Cornville,1419,79926,41509.0,50.1,167400,88.96952104499275,69.9601593625498,3.416856492027335,97.25158562367865,12.208892025405788,29.55575702629193,30.806845965770172,1
Cranberry Isles,196,65000,46113.0,48.0,439100,80.95238095238095,70.37037037037037,0.0,98.46938775510205,4.591836734693878,51.67785234899329,-43.08943089430895,0
Crawford,97,31875,29447.0,66.2,121400,91.22807017543859,27.058823529411764,21.73913043478261,78.35051546391753,27.835051546391753,18.072289156626507,29.729729729729733,1
Crystal,247,48125,35015.0,63.2,129200,92.80000000000001,40.09661835748793,12.048192771084338,80.16194331983806,14.69387755102041,22.926829268292686,54.2483660130719,1
Cumberland,8647,173894,89176.0,41.9,616800,90.86522997748472,69.84365604329525,0.23676280671545416,93.11900080952931,3.139481000926784,72.49348958333334,-43.36043360433604,0
Cushing,1460,83500,59310.0,48.8,409800,84.6938775510204,60.89743589743589,3.421052631578948,92.73972602739727,7.739726027397261,38.40230991337825,11.968348170128586,1
Cutler,492,72946,36598.0,41.8,155900,98.22222222222223,54.40414507772021,0.0,96.13821138211382,10.975609756097562,36.57142857142857,42.01183431952663,1
Damariscotta,2192,59423,42644.0,49.3,363500,70.04048582995951,50.47248471372985,8.259911894273127,98.63138686131386,11.86359269932757,41.9392523364486,-36.32043448744059,0
Danforth,666,48125,26253.0,53.1,89900,81.57894736842105,47.700170357751276,13.928571428571429,97.5975975975976,13.86748844375963,9.025270758122744,51.32530120481928,1
Dayton,2313,113750,45813.0,42.1,398200,89.74668275030156,69.63078523140925,0.14936519790888725,91.91526156506701,3.682842287694974,27.581863979848865,12.97071129707112,1
Deblois,148,52083,24965.0,56.2,133300,100.0,47.88732394366197,0.0,100.0,8.783783783783784,21.6,85.71428571428572,1
Dedham,1656,111442,64648.0,46.5,356400,95.48989113530327,64.33933933933935,3.5005834305717616,89.4927536231884,8.997584541062801,49.545078577336646,2.4765157984628487,1
Deer Isle,2470,62284,40307.0,52.6,308300,85.83650190114068,53.903693314633,2.8620988725065044,94.8582995951417,19.148038802193167,35.85657370517929,-17.42133537989256,0
Denmark,1054,64167,41033.0,54.4,250000,92.6829268292683,53.559693318729465,2.658486707566462,91.36622390891841,8.918406072106261,29.82456140350877,-0.36900369003689093,0
Dennysville,218,39250,37927.0,57.5,218800,81.41592920353983,42.2680412371134,8.536585365853659,93.11926605504587,30.275229357798167,36.702127659574465,28.348909657320867,1
Detroit,650,51111,26065.0,45.4,137500,82.31292517006803,43.63636363636363,0.8333333333333334,86.92307692307692,23.076923076923077,12.525667351129362,34.15637860082305,1
Dexter,3822,51845,35453.0,51.0,170600,66.33277685030606,53.48421679571174,2.060133630289532,93.72056514913658,23.083045900769434,16.856492027334852,29.429735234215883,1
